factor,feature,importance
force,workload_score,0.0
force,fatigue_score,0.0
force,age_ord,0.0
force,income_ord,0.0
force,education_ord,0.0
force,job_duration_ord,0.0
force,work_hours_num,0.0
force,work_days_num,0.0
force,deliveries_num,0.0
force,rest_break_num,0.0
force,vehicle_rank,0.0
force,carrying_contact_rank,0.0
force,vibration_index,0.0
force,workload_x_fatigue,0.0
force,workload_x_age,0.0
force,fatigue_x_jobdur,0.0
force,deliv_x_days,0.0
force,gender_rank,0.0
force,region_rank,0.0
force,marital_rank,0.0
force,platform_rank,0.0
force,break_type_rank,0.0
force,tobacco_ord,0.0
force,alcohol_ord,0.0
force,nmq_neck,0.0
force,nmq_shoulders,0.0
force,nmq_upper_back,0.0
force,nmq_lower_back,0.0
force,nmq_elbows,0.0
force,nmq_wrists_hands,0.0
force,nmq_hips_thighs,0.0
force,nmq_knees,0.0
force,nmq_ankles_feet,0.0
force,d7_neck,0.0
force,d7_lower_back,0.0
force,d7_knees,0.0
force,d7_wrist_hands,0.0
force,out_reduced_perf,0.0
force,out_taken_leave,0.0
force,out_consulted_doctor,0.0
force,out_riding_worsens,0.0
force,out_carrying_worsens,0.0
repetition,d7_neck,0.0065
repetition,out_taken_leave,0.007
repetition,d7_wrist_hands,0.0076
repetition,marital_rank,0.0076
repetition,out_consulted_doctor,0.0078
repetition,d7_knees,0.0088
repetition,break_type_rank,0.009
repetition,tobacco_ord,0.0091
repetition,alcohol_ord,0.0098
repetition,out_carrying_worsens,0.0102
repetition,nmq_neck,0.0107
repetition,gender_rank,0.0113
repetition,vehicle_rank,0.0115
repetition,nmq_ankles_feet,0.0119
repetition,nmq_elbows,0.0122
repetition,out_reduced_perf,0.0132
repetition,nmq_hips_thighs,0.0135
repetition,age_ord,0.0143
repetition,platform_rank,0.0145
repetition,nmq_knees,0.0145
repetition,education_ord,0.0175
repetition,carrying_contact_rank,0.0178
repetition,region_rank,0.0187
repetition,nmq_lower_back,0.0207
repetition,nmq_upper_back,0.0224
repetition,nmq_shoulders,0.023
repetition,force_x_age,0.0248
repetition,job_duration_ord,0.0289
repetition,workload_x_age,0.0289
repetition,nmq_wrists_hands,0.0297
repetition,rest_break_num,0.0341
repetition,d7_lower_back,0.0351
repetition,force_exertion,0.0361
repetition,workload_score,0.0412
repetition,fatigue_x_jobdur,0.0415
repetition,work_days_num,0.0424
repetition,out_riding_worsens,0.0475
repetition,workload_x_fatigue,0.0553
repetition,fatigue_score,0.058
repetition,vibration_index,0.072
repetition,income_ord,0.0936
duration,region_rank,0.0031
duration,d7_knees,0.0038
duration,out_consulted_doctor,0.0043
duration,d7_neck,0.0047
duration,nmq_shoulders,0.0052
duration,gender_rank,0.0067
duration,nmq_elbows,0.007
duration,marital_rank,0.007
duration,d7_lower_back,0.0074
duration,out_reduced_perf,0.0076
duration,nmq_upper_back,0.0081
duration,nmq_lower_back,0.0083
duration,platform_rank,0.0086
duration,out_taken_leave,0.0087
duration,age_ord,0.0088
duration,vehicle_rank,0.0088
duration,nmq_wrists_hands,0.009
duration,break_type_rank,0.0096
duration,alcohol_ord,0.0118
duration,out_riding_worsens,0.0142
duration,education_ord,0.0144
duration,nmq_knees,0.0146
duration,nmq_neck,0.0154
duration,out_carrying_worsens,0.0166
duration,tobacco_ord,0.0173
duration,force_x_age,0.0183
duration,nmq_ankles_feet,0.0192
duration,nmq_hips_thighs,0.0206
duration,d7_wrist_hands,0.0213
duration,carrying_contact_rank,0.0217
duration,job_duration_ord,0.0234
duration,workload_x_age,0.0258
duration,force_exertion,0.0304
duration,fatigue_score,0.0416
duration,workload_x_fatigue,0.043
duration,workload_score,0.0438
duration,work_days_num,0.0453
duration,rest_break_num,0.0484
duration,fatigue_x_jobdur,0.0541
duration,income_ord,0.0886
duration,deliv_x_days,0.103
duration,deliveries_num,0.1206
vibration,out_reduced_perf,0.0125
vibration,region_rank,0.0142
vibration,out_consulted_doctor,0.0143
vibration,education_ord,0.0151
vibration,nmq_lower_back,0.0153
vibration,nmq_knees,0.0153
vibration,tobacco_ord,0.0154
vibration,nmq_hips_thighs,0.0155
vibration,nmq_elbows,0.0155
vibration,nmq_shoulders,0.0157
vibration,out_riding_worsens,0.0161
vibration,nmq_neck,0.0163
vibration,d7_neck,0.0163
vibration,out_taken_leave,0.0175
vibration,nmq_wrists_hands,0.0175
vibration,d7_wrist_hands,0.018
vibration,d7_knees,0.0182
vibration,nmq_upper_back,0.0188
vibration,break_type_rank,0.0188
vibration,marital_rank,0.0191
vibration,nmq_ankles_feet,0.02
vibration,alcohol_ord,0.0206
vibration,force_x_age,0.0217
vibration,platform_rank,0.0223
vibration,carrying_contact_rank,0.0224
vibration,workload_x_age,0.0237
vibration,age_ord,0.0239
vibration,out_carrying_worsens,0.025
vibration,d7_lower_back,0.0254
vibration,fatigue_score,0.0262
vibration,work_days_num,0.0271
vibration,workload_x_fatigue,0.0278
vibration,fatigue_x_jobdur,0.0279
vibration,force_exertion,0.0299
vibration,gender_rank,0.0301
vibration,job_duration_ord,0.0313
vibration,workload_score,0.0355
vibration,rest_break_num,0.0403
vibration,deliv_x_days,0.0532
vibration,income_ord,0.0627
vibration,deliveries_num,0.0774
contact_stress,gender_rank,0.0064
contact_stress,out_consulted_doctor,0.0072
contact_stress,d7_neck,0.0083
contact_stress,d7_wrist_hands,0.0091
contact_stress,nmq_neck,0.0093
contact_stress,nmq_wrists_hands,0.0097
contact_stress,region_rank,0.01
contact_stress,nmq_knees,0.0102
contact_stress,nmq_elbows,0.0103
contact_stress,out_reduced_perf,0.0103
contact_stress,alcohol_ord,0.011
contact_stress,out_carrying_worsens,0.0112
contact_stress,nmq_shoulders,0.0116
contact_stress,out_taken_leave,0.0116
contact_stress,nmq_ankles_feet,0.0117
contact_stress,nmq_lower_back,0.012
contact_stress,out_riding_worsens,0.0125
contact_stress,marital_rank,0.0126
contact_stress,d7_knees,0.0127
contact_stress,nmq_hips_thighs,0.0129
contact_stress,vehicle_rank,0.013
contact_stress,platform_rank,0.0145
contact_stress,nmq_upper_back,0.0146
contact_stress,tobacco_ord,0.0155
contact_stress,break_type_rank,0.0163
contact_stress,d7_lower_back,0.0168
contact_stress,job_duration_ord,0.0205
contact_stress,education_ord,0.022
contact_stress,work_days_num,0.0239
contact_stress,deliveries_num,0.0266
contact_stress,rest_break_num,0.0292
contact_stress,age_ord,0.0305
contact_stress,income_ord,0.033
contact_stress,force_exertion,0.0402
contact_stress,workload_score,0.0466
contact_stress,force_x_age,0.0477
contact_stress,fatigue_x_jobdur,0.0477
contact_stress,deliv_x_days,0.0511
contact_stress,workload_x_age,0.0559
contact_stress,fatigue_score,0.0616
contact_stress,workload_x_fatigue,0.0649
contact_stress,vibration_index,0.0974
posture,workload_score,0.0
posture,fatigue_score,0.0
posture,age_ord,0.0
posture,income_ord,0.0
posture,education_ord,0.0
posture,job_duration_ord,0.0
posture,work_hours_num,0.0
posture,work_days_num,0.0
posture,deliveries_num,0.0
posture,rest_break_num,0.0
posture,vehicle_rank,0.0
posture,carrying_contact_rank,0.0
posture,force_exertion,0.0
posture,vibration_index,0.0
posture,workload_x_fatigue,0.0
posture,workload_x_age,0.0
posture,force_x_age,0.0
posture,fatigue_x_jobdur,0.0
posture,deliv_x_days,0.0
posture,gender_rank,0.0
posture,region_rank,0.0
posture,marital_rank,0.0
posture,platform_rank,0.0
posture,break_type_rank,0.0
posture,tobacco_ord,0.0
posture,alcohol_ord,0.0
posture,nmq_neck,0.0
posture,nmq_shoulders,0.0
posture,nmq_upper_back,0.0
posture,nmq_lower_back,0.0
posture,nmq_elbows,0.0
posture,nmq_wrists_hands,0.0
posture,nmq_hips_thighs,0.0
posture,nmq_knees,0.0
posture,nmq_ankles_feet,0.0
posture,d7_neck,0.0
posture,d7_lower_back,0.0
posture,d7_knees,0.0
posture,d7_wrist_hands,0.0
posture,out_reduced_perf,0.0
posture,out_taken_leave,0.0
posture,out_consulted_doctor,0.0
posture,out_riding_worsens,0.0
posture,out_carrying_worsens,0.0
posture,upper_arm,0.0
posture,lower_arm,0.0
posture,wrist,0.0
posture,wrist_twist,0.0
posture,neck_position,0.0
posture,trunk_position,0.0
posture,legs,0.0
posture,muscle_a,0.0
posture,force_a,0.0
posture,muscle_b,0.0
posture,force_b,0.0
posture,qec_back,0.0
posture,qec_shoulder_arm,0.0
posture,qec_wrist_hand,0.0
posture,qec_neck,0.0
posture,qec_driving,0.0
posture,qec_vibration,0.0
posture,qec_work_pace,0.0
posture,qec_stress,0.0
